1366579956 0 17
1368282227 504 17
1368282422 505 17
1368287148 510 17
1368290096 546 17
1368290126 547 17
1368292774 549 17
1368293408 652 17
1368293796 656 17
1368294937 688 17
1368295158 708 17
1368295332 722 17
1368295396 725 17
1368295454 728 17
1368295470 731 17
1368305093 812 17
1368342274 919 17
1368457742 1089 17
1368459716 1150 17
1368459841 1154 17
1368518322 1205 17
1368519504 1263 17
1368561304 1263 86
1368563089 1263 99
1368563139 1263 100
1368566745 1263 192
1368567568 1263 216
1368617644 1959 216
